time,status,count,level,score,message
17h 07,failed,6,CRITICAL,3.181560186210355,"CRITICAL: Count (6) exceeds 99th percentile (3.00) and z-score (3.18) > 3, isolation forest: anomaly"
17h 08,failed,16,CRITICAL,9.926467780976306,"CRITICAL: Count (16) exceeds 99th percentile (3.00) and z-score (9.93) > 3, isolation forest: anomaly"
17h 09,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
17h 10,failed,8,CRITICAL,4.530541705163546,"CRITICAL: Count (8) exceeds 99th percentile (3.00) and z-score (4.53) > 3, isolation forest: anomaly"
17h 11,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
17h 12,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
17h 13,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
17h 15,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
17h 16,denied,92,WARNING,2.329773915430692,"WARNING: Count (92) exceeds 95th percentile (59.05) and z-score (2.33) > 2, isolation forest: anomaly"
17h 16,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
17h 17,denied,105,WARNING,2.768192909090479,"WARNING: Count (105) exceeds 95th percentile (59.05) and z-score (2.77) > 2, isolation forest: anomaly"
17h 17,failed,14,CRITICAL,8.577486262023116,"CRITICAL: Count (14) exceeds 99th percentile (3.00) and z-score (8.58) > 3, isolation forest: anomaly"
17h 18,denied,94,WARNING,2.397222991378352,"WARNING: Count (94) exceeds 95th percentile (59.05) and z-score (2.40) > 2, isolation forest: anomaly"
17h 18,failed,9,CRITICAL,5.205032464640141,"CRITICAL: Count (9) exceeds 99th percentile (3.00) and z-score (5.21) > 3, isolation forest: anomaly"
17h 19,denied,105,WARNING,2.768192909090479,"WARNING: Count (105) exceeds 95th percentile (59.05) and z-score (2.77) > 2, isolation forest: anomaly"
17h 19,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
17h 20,denied,118,CRITICAL,3.2066119027502658,"CRITICAL: Count (118) exceeds 99th percentile (102.22) and z-score (3.21) > 3, isolation forest: anomaly"
17h 20,failed,7,CRITICAL,3.8560509456869503,"CRITICAL: Count (7) exceeds 99th percentile (3.00) and z-score (3.86) > 3, isolation forest: anomaly"
17h 21,denied,118,CRITICAL,3.2066119027502658,"CRITICAL: Count (118) exceeds 99th percentile (102.22) and z-score (3.21) > 3, isolation forest: anomaly"
17h 21,failed,10,CRITICAL,5.879523224116735,"CRITICAL: Count (10) exceeds 99th percentile (3.00) and z-score (5.88) > 3, isolation forest: anomaly"
17h 22,denied,105,WARNING,2.768192909090479,"WARNING: Count (105) exceeds 95th percentile (59.05) and z-score (2.77) > 2, isolation forest: anomaly"
17h 22,failed,11,CRITICAL,6.554013983593331,"CRITICAL: Count (11) exceeds 99th percentile (3.00) and z-score (6.55) > 3, isolation forest: anomaly"
